Table,Field,DataType,Required,Description,Validation,Shared_key,,ClinPath field,team_Hafler type,ClinPath description,
CLINPATH,path_mckeith,Enum,Optional,Pathology McKeith.:   McKeith and USSLBD Stage.  ,"[""Neocortical"", ""Limbic (transitional)"" ,""Brainstem"", ""Amygdala Predominant"", ""Olfactory bulb only"",""Limbic, transitional (brainstem and limbic involvement)"", ""Diffuse, neocortical (brainstem, limbic and neocortical involvement)"", ""Olfactory Bulb-Only"", ""Limbic (amygdala) predominant"", ""Absent"", ""Present, but extent unknown""]",0,,path_mckeith_USSLBD,Dropdown,"To specify the extent of Lewy body pathology, based on McKeith and Unified Staging System for Lewy Body Disorders; this information to be provided by the brain bank based on examination of formalin fixed paraffin embedded tissue of the whole or half of the brain","[""Brainstem"",""Limbic, transitional (brainstem and limbic involvement)"", ""Diffuse, neocortical (brainstem, limbic and neocortical involvement)"", ""Olfactory Bulb-Only"", ""Limbic (amygdala) predominant"", ""Absent"", ""Present, but extent unknown""]"
CLINPATH,sn_neuronal_loss,Enum,Optional,"SN Neuronal Loss.:   sn_neuronal_loss (none, mild, moderate, severe, 0-3)","[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",0,,path_sn_neuronal_loss,Dropdown,"To provide a semiquantitative score (none, mild, moderate, severe) for the extent of pigmented neurone loss in the substantia nigra; this information to be provided by the brain bank based on examination of formalin fixed paraffin embedded tissue",
CLINPATH,path_infarcs,Enum,Optional,Pathology Infarcs.:   Cerebral infarcts (indicator for a large infarct or in study region),"[""Yes"", ""No""]",0,,path_infarcts,Dropdown,To specify if any infarcts (macroscopic or microscopic) have been identified on the examination of the brain tissue; this information to be provided by the brain bank,
CLINPATH,path_nia_ri,Enum,Optional,"Pathology NIA_RI.:   NIA_RI (Reagan Institute) criteria: 'low', 'intermediate', 'high', 'none'","['Low', 'Intermediate', 'High', 'None']",0,,,,,
CLINPATH,path_nia_aa_a,Enum,Optional,Pathology NIA-AA A.:   NIA-AA A criteria (pathological not biomarker criteria),"[""A0"",""A1"",""A2"",""A3""]",0,,path_NIA_AA_A_score,Dropdown,"To specify the A score as per 2012 NIA-AA criteria; this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain",
CLINPATH,path_nia_aa_b,Enum,Optional,Pathology NIA-AA B.:   NIA-AA B criteria (pathological not biomarker criteria),"[""B0"",""B1"",""B2"",""B3""]",0,,path_NIA_AA_B_score,Dropdown,"To specify the B score as per 2012 NIA-AA criteria; this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain",
CLINPATH,path_nia_aa_c,Enum,Optional,Pathology NIA-AA C.:   NIA-AA C criteria (pathological not biomarker criteria): ,"[""C0"",""C1"",""C2"",""C3""]",0,,path_NIA_AA_C_score,Dropdown,"To specify the C score as per 2012 NIA-AA criteria; this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain",
CLINPATH,TDP43,Enum,Optional,"TDP43.:   Specifies if concomitant TDP43 pathology is present in the medial temporal and frontal lobes; this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain. ","[""None in medial temporal lobe"", ""Present in amygdala, only"", ""Present in hippocampus, only"", ""Present in amygdala and hippocampus, only"", ""Present in medial temporal lobe and middle frontal gyrus (not FTLD pattern)"", ""Unknown""]",0,,TDP43,Dropdown,"To specify if concomitant TDP43 pathology is present in the medial temporal and frontal lobes; this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain",
CLINPATH,arteriolosclerosis_severity_scale,Enum,Optional,Arteriolosclerosis Severity Scale:   Arteriolosclerosis severity scale.,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",0,,arteriolosclerosis_severity_scale,Dropdown,"To provide a semiquantitative score (none, mild, moderate, severe) for the severity of hyaline arteriolosclerosis",
CLINPATH,amyloid_angiopathy_severity_scale,Enum,Optional,Amyloid Angiopathy Severity Scale:   Amyloid angiopathy severity scale.,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",0,,amyloid_angiopathy_severity_scale_Vonsattel,Dropdown,"To specify the severity of cerebral amyloid angiopathy (mild, moderate, severe, very severe) based on Vonsattel grading",
CLINPATH,path_ad_level,Enum,Optional,"Patholgy AD Level.:   Specifies the level of Alzheimer's disease neuropathological change, based on 2012 NIA-AA criteria using the options in the dropdown menu: this information to be provided by the brain bank, based on the examination of the whole or half of the brain.","[""No evidence of Alzheimer's disease neuropathological change"", ""Low level Alzheimer's disease neuropathological change"", ""At least low level Alzheimer's disease neuropathological change"", ""Intermediate level Alzheimer's disease neuropathological change"", ""At least intermediate level Alzheimer's disease neuropathological change"", ""High level Alzheimer's disease neuropathological change"", ""Unknown""]",0,,path_ad_level,Dropdown,"To specify the level of Alzheimer's disease neuropathological change, based on 2012 NIA-AA criteria using the options in the dropdown menu: this information to be provided by the brain bank, based on the examination of the whole or half of the brain",
CLINPATH,dig_slide_avail,Enum,Optional,Digital Slide Available: Indicates if a digital image of the pathology slides are available.,"[""Yes"", ""No""]",0,,path_ad_level,Dropdown,"To specify the level of Alzheimer's disease neuropathological change, based on 2012 NIA-AA criteria using the options in the dropdown menu: this information to be provided by the brain bank, based on the examination of the whole or half of the brain",
CLINPATH,quant_path_avail,Enum,Optional,Quantitative Pathology Available:  Indicates if quantative pathology is available.,"[""Yes"", ""No""]",0,,path_ad_level,Dropdown,"To specify the level of Alzheimer's disease neuropathological change, based on 2012 NIA-AA criteria using the options in the dropdown menu: this information to be provided by the brain bank, based on the examination of the whole or half of the brain",
