Table,Field,DisplayName,Description,DataType,Required,Validation,Shared_key
CLINPATH,path_braak_asyn,Pathology Braak asyn,Braak&Braak lewie body stage.,Enum,Optional,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""1/2"", ""3/4"", ""4/5"", ""5/6""]",0
CLINPATH,path_cerad,Pathology CERAD,Semiquantitative assessment of neuritic plaques.,Enum,Optional,"[""None"", ""Sparse"", ""Moderate"", ""Frequent""]",0
CLINPATH,path_thal,Pathology Thal,Thal stage of Amyloid beta.,Enum,Optional,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""1/2"",""4/5""]",0
CLINPATH,known_pathogenic_mutation,Known Pathogenic Mutation,"Does the donor from which the sample is acquired is known to have a pathogenic Parkinson's disease -causing mutation as known to the brain bank, including GBA?",Enum,Optional,"[""None"", ""Present"", ""Unknown""]",0
CLINPATH,PD_pathogenic_mutation,PD Pathogenic Mutation,"To specify as a free text which pathogenic mutation the donor has (e.g., LRRK2 G2019S, GBA L444P)",String,Optional,,0
CLINPATH,path_mckeith,Pathology McKeith,McKeith and USSLBD Stage.,Enum,Optional,"[""Neocortical"", ""Limbic (transitional)"" ,""Brainstem"", ""Amygdala Predominant"", ""Olfactory bulb only"",""Limbic, transitional (brainstem and limbic involvement)"", ""Diffuse, neocortical (brainstem, limbic and neocortical involvement)"", ""Olfactory Bulb-Only"", ""Limbic (amygdala) predominant"", ""Absent"", ""Present, but extent unknown""]",0
CLINPATH,sn_neuronal_loss,SN Neuronal Loss,"sn_neuronal_loss (none, mild, moderate, severe, 0-3)",Enum,Optional,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",0
CLINPATH,path_infarcs,Pathology Infarcs,Cerebral infarcts (indicator for a large infarct or in study region),Enum,Optional,"[""Yes"", ""No""]",0
CLINPATH,path_nia_ri,Pathology NIA_RI,"NIA_RI (Reagan Institute) criteria.'low', 'intermediate', 'high', 'none'",Enum,Optional,"['Low', 'Intermediate', 'High', 'None']",0
CLINPATH,path_nia_aa_a,Pathology NIA-AA A,NIA-AA A criteria (pathological not biomarker criteria),Enum,Optional,"[""A0"",""A1"",""A2"",""A3""]",0
CLINPATH,path_nia_aa_b,Pathology NIA-AA B,NIA-AA B criteria (pathological not biomarker criteria),Enum,Optional,"[""B0"",""B1"",""B2"",""B3""]",0
CLINPATH,path_nia_aa_c,Pathology NIA-AA C,NIA-AA C criteria (pathological not biomarker criteria).,Enum,Optional,"[""C0"",""C1"",""C2"",""C3""]",0
CLINPATH,TDP43,TDP43,"Specifies if concomitant TDP43 pathology is present in the medial temporal and frontal lobes; this information to be provided by the brain bank, based on the examination of formalin fixed paraffin embedded tissue of the whole or half of the brain.",Enum,Optional,"[ ""None in medial temporal lobe"", ""Present in amygdala, only"", ""Present in hippocampus, only"", ""Present in entorhinal cortex, only"", ""Present in amygdala and hippocampus, only"", ""Present in the limbic region (where limbic includes amygdala, entorhinal cortex, hippocampus, and medial temporal lobe"", ""Present in medial temporal lobe and middle frontal gyrus (not FTLD pattern)"", ""Unknown"" ]",0
CLINPATH,arteriolosclerosis_severity_scale,Arteriolosclerosis Severity Scale,Arteriolosclerosis severity scale.,Enum,Optional,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",0
CLINPATH,amyloid_angiopathy_severity_scale,Amyloid Angiopathy Severity Scale,Amyloid angiopathy severity scale.,Enum,Optional,"[""None"", ""Mild"", ""Moderate"", ""Severe"", ""Not assessed"", ""Unknown""]",0
CLINPATH,path_ad_level,Patholgy AD Level,"Specifies the level of Alzheimer's disease neuropathological change, based on 2012 NIA-AA criteria using the options in the dropdown menu.this information to be provided by the brain bank, based on the examination of the whole or half of the brain.",Enum,Optional,"[""No evidence of Alzheimer's disease neuropathological change"", ""Low level Alzheimer's disease neuropathological change"", ""At least low level Alzheimer's disease neuropathological change"", ""Intermediate level Alzheimer's disease neuropathological change"", ""At least intermediate level Alzheimer's disease neuropathological change"", ""High level Alzheimer's disease neuropathological change"", ""Unknown""]",0
CLINPATH,dig_slide_avail,Digital Slide Available,Indicates if a digital image of the pathology slides are available.,Enum,Optional,"[""Yes"", ""No""]",0
CLINPATH,quant_path_avail,Quantitative Pathology Available,Indicates if quantative pathology is available.,Enum,Optional,"[""Yes"", ""No""]",0
CONDITION,condition_id,Condition ID,"Sample experimental condition, from SAMPLE",String,Required,,1
CONDITION,intervention_name,Intervention Name,Description of the top experimental conditions,String,Required,,1
CONDITION,intervention_id,Intervention ID,ID for specifying the experimental condition,String,Required,,1
CONDITION,protocol_id,Protocl ID,ID for referencing the protocols for interventions defining the experimental conditions,String,Required,,0
CONDITION,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud for each contributed Dataset.,String,Assigned,,0
CONDITION,ASAP_team_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud for each contributing Team.,String,Assigned,,0
CONDITION,intervention_aux_table,Intervention Table Auxilarry Information,Table which defines all experimental conditions for each sample,String,Optional,,0
MOUSE,ASAP_mouse_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud.,String,Assigned,,1
MOUSE,subject_id,The Subject ID,This will be a unique ID for the mouse and is alias for mouse_id below. Note: it is clearly wrong to call it subject_ but lets us use the same key as the SAMPLE table.,String,Required,,1
MOUSE,mouse_id,Mouse ID Alias,Used in place of subject_id for mouse studies.,String,Alias,,1
MOUSE,strain,Strain,Mouse strain details.,String,Required,,1
MOUSE,sex,Sex,Sex of animal.,String,Required,"[""Male"",""Female""]",1
MOUSE,age,Age,Age of animal in days.,Integer,Required,,0
MOUSE,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud for each contributed Dataset.,String,Assigned,,0
MOUSE,ASAP_team_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud for each contributing Team.,String,Assigned,,0
MOUSE,aux_table,Mouse Table Auxillary Information,"Table which defines additional mouse ""subject"" information.",String,Optional,,0
SPATIAL,ASAP_sample_id,ASAP Sample ID,Unique ID issued by ASAP CRN Cloud.,String,Assigned,,1
SPATIAL,sample_id,Sample ID,"ID of each individual sample used in the study (e.g. cortex of anterior cingulate gyrus); if from the same brain several regions are included in the study, each region (i.e. each sample) has different ID and listed as a separate entry.",String,Required,,1
SPATIAL,mouse_id,Mouse ID Alias,Used in place of subject_id for mouse studies.,String,Alias,,1
SPATIAL,geomx_config,GeoMx Config File,Config file (.ini) reference. Pipeline processing parameters that are used by the GeoMx NGS pipeline to assist in converting the FASTQ files to DCC files. It is from the GeoMx instrument study readout package. Leave blank if Visium. Files should be in /spatial.,String,Optional,,1
SPATIAL,geomx_dsp_config,GeoMx DSP Config File,Config file (.pkc) reference. Leave blank if Visium. Files should be in /spatial.,String,Optional,,1
SPATIAL,geomx_annotation_file,Geomx Annotation File,Reference to the lab worksheet (.xlsx) from the GeoMx instrument study readout package. Leave blank if Visium. Files should be in /spatial.,String,Optional,,0
SPATIAL,visium_cytassist,Visium CytAssist Image,Visium image (.TIFF). A brightfield image that provides spatial orientation. Leave blank if GeoMx. Files should be in /spatial.,String,Optional,,0
SPATIAL,visium_probe_set,Visium Probe Set,Visium probe set / panel used. Leave blank if GeoMx. or not applicable,Enum,Optional,"[""Human Transcriptome v2"", ""Human Transcriptome v1"", ""Mouse Transcriptome v2"", ""Mouse Transcriptome v1""]",0
SPATIAL,visium_slide_ref,Visium Slide Ref,Visium slide reference / number. Leave blank if GeoMx.,String,Optional,,0
SPATIAL,visium_capture_area,Visium Capture Area,Leave blank if GeoMx.,String,Optional,,0
SPATIAL,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud for each contributed Dataset.,String,Assigned,,0
SPATIAL,ASAP_team_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud for each contributing Team.,String,Assigned,,0
CELL,ASAP_cell_id,ASAP Cell ID,Unique ID issued by ASAP CRN.,String,Assigned,,1
CELL,subject_id,The Subject ID,This will be a unique ID for the cell source.  Note.is is clearly wrong to call it subject_ but lets us use the same key as the SAMPLE table.,String,Required,,1
CELL,cell_id,Cell ID Alias,Used in place of subject_id for ipsc/in vitro studies.,String,Alias,,1
CELL,cell_line,Cell Line Name,Name of cell-line or other source of in-vitro sample.,String,Required,,1
CELL,perturbation,Perturbation,"Reference to any genetic peturbation performed. ""NA"" if none",String,Required,,1
CELL,clone_level,Clone Level,Indication of what level of clone or sub-clone this in-vitro cell belongs to.  generation?,Enum,Required,['tbd'],0
CELL,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud for each contributed Dataset.,String,Assigned,,0
CELL,ASAP_team_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud for each contributing Team.,String,Assigned,,0
CELL,aux_table,Cell Table Auxillary Information,"Table which defines additional mouse ""subject"" information",String,Optional,,0
PROTEOMICS,ASAP_sample_id,ASAP Sample ID,Unique ID issued by ASAP CRN Cloud.,String,Assigned,,1
PROTEOMICS,sample_id,Sample ID,"ID of each individual sample used in the study (e.g. cortex of anterior cingulate gyrus); if from the same brain several regions are included in the study, each region (i.e. each sample) has different ID and listed as a separate entry",String,Required,,1
PROTEOMICS,source_id,Source ID,"ID for the source of each sample, possibly encoded in an auxillary table.",String,Required,,1
PROTEOMICS,technology,Technology,Technology used for measurement.,String,Required,,1
PROTEOMICS,assay,Assay,Name or reference to assay.,String,Required,,0
PROTEOMICS,instrument,Instrument Name,Name of instrument used.,String,Required,,0
PROTEOMICS,technical_replicate,Technical Replicate,"Indicator for technical replicate:  number or boolean, or table reference.",String,Required,,0
PROTEOMICS,raw_file,Raw File Name,Name and uri for file containing the raw data associated with this sample.,String,Required,,0
PROTEOMICS,summary_file,Summary File Name,Name and uri for file containing summarized downstream results associated with this sample.,String,Required,,0
PROTEOMICS,SDRF_proteomics_table,SDRF-Proteomics Metadata Table,Table which defines SDRF-Proteomics metadata table,String,Required,,0
PROTEOMICS,ASAP_dataset_id,ASAP Dataset ID,Unique ID issued by ASAP CRN Cloud for each contributed Dataset.,String,Assigned,,0
PROTEOMICS,ASAP_team_id,ASAP Team ID,Unique ID issued by ASAP CRN Cloud for each contributing Team.,String,Assigned,,0
